Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0552,Otu0796,0.389154,0.00122,0.010841364,0.389154,1
Otu0552,Otu0797,0.718392,0,0,0.718392,3
Otu0552,Otu0798,0.641833,0,0,0.641833,3
Otu0552,Otu0800,-0.26588,0.00416,0.026305553,0.26588,1
Otu0552,Otu0805,0.394851,0.000956,0.009191705,0.394851,1
Otu0552,Otu0809,0.489945,4.00E-05,0.001009032,0.489945,2
Otu0552,Otu0915,0.489214,9.20E-05,0.001910018,0.489214,2
Otu0552,Otu0945,0.436509,0.000388,0.004865778,0.436509,2
Otu0552,Otu0967,0.345398,0.00208,0.016051579,0.345398,1
Otu0552,Otu0968,-0.411705,6.80E-05,0.001564,0.411705,2
Otu0552,Otu1109,-0.356868,0.000132,0.002346,0.356868,1
Otu0552,Otu1411,0.679437,0,0,0.679437,3
Otu0552,Otu1717,0.354062,0.003208,0.021626345,0.354062,1
Otu0552,Otu1797,0.555192,4.00E-06,0.000144369,0.555192,2
Otu0552,Otu1840,0.398721,0.000472,0.005481743,0.398721,1
Otu0552,Otu1858,0.370721,0.000992,0.009421687,0.370721,1
Otu0552,Otu1887,-0.336417,0.000456,0.005430335,0.336417,1
Otu0552,Otu1899,-0.364191,0.000104,0.002085333,0.364191,1
Otu0552,Otu1903,-0.353879,0.000196,0.00306544,0.353879,1
Otu0552,Otu1917,-0.32889,0.000392,0.004865778,0.32889,1
Otu0552,Otu1932,-0.273338,0.005952,0.033982835,0.273338,1
Otu0552,Otu1957,0.32177,0.005412,0.03214317,0.32177,1
Otu0599,Otu0716,-0.256925,0.008356,0.042801694,0.256925,1
Otu0599,Otu0772,-0.279457,0.00508,0.031198115,0.279457,1
Otu0599,Otu1957,-0.312796,0.00114,0.010434718,0.312796,1
Otu0616,Otu0669,0.428472,0.000468,0.005462328,0.428472,2
Otu0616,Otu0716,0.641328,0,0,0.641328,3
Otu0616,Otu0728,0.438936,0.001368,0.011790154,0.438936,2
Otu0616,Otu0790,0.438956,0.00048,0.00552,0.438956,2
Otu0616,Otu0792,0.332898,0.006036,0.034121581,0.332898,1
Otu0616,Otu0796,0.358912,0.003724,0.024268067,0.358912,1
Otu0616,Otu0797,0.716923,0,0,0.716923,3
Otu0616,Otu0798,0.570199,8.00E-06,0.000260667,0.570199,2
Otu0616,Otu0800,-0.261601,0.005384,0.032105665,0.261601,1
Otu0616,Otu0809,0.540978,4.00E-06,0.000144369,0.540978,2
Otu0616,Otu0886,-0.322149,0.000276,0.003831337,0.322149,1
Otu0616,Otu0915,0.47168,0.000216,0.003187019,0.47168,2
Otu0616,Otu0945,0.561515,1.20E-05,0.0003519,0.561515,2
Otu0616,Otu0967,0.329803,0.003848,0.024868893,0.329803,1
Otu0616,Otu0968,-0.311337,0.00086,0.008548983,0.311337,1
Otu0616,Otu1109,-0.343569,0.000184,0.002916649,0.343569,1
Otu0616,Otu1411,0.676374,0,0,0.676374,3
Otu0616,Otu1661,0.422702,0.000168,0.00275614,0.422702,2
Otu0616,Otu1717,0.463792,0.000292,0.003982744,0.463792,2
Otu0616,Otu1797,0.522829,8.00E-06,0.000260667,0.522829,2
Otu0616,Otu1840,0.456764,6.40E-05,0.001486574,0.456764,2
Otu0616,Otu1853,-0.356369,0.00022,0.003205714,0.356369,1
Otu0616,Otu1858,0.32717,0.004144,0.026300562,0.32717,1
Otu0616,Otu1899,-0.445868,1.20E-05,0.0003519,0.445868,2
Otu0616,Otu1903,-0.373702,0.000224,0.003243852,0.373702,1
Otu0616,Otu1917,-0.323325,0.000528,0.005898514,0.323325,1
Otu0616,Otu1935,-0.292534,0.003076,0.021327273,0.292534,1
Otu0616,Otu1947,0.398953,0.001144,0.010434718,0.398953,1
Otu0616,Otu1957,0.397213,0.00098,0.009345854,0.397213,1
Otu0616,Otu1985,0.295977,0.010244,0.049184442,0.295977,1
Otu0664,Otu0691,0.453124,0.000128,0.002327814,0.453124,2
Otu0664,Otu0711,-0.282621,0.005384,0.032105665,0.282621,1
Otu0664,Otu0797,0.31469,0.007776,0.040712766,0.31469,1
Otu0664,Otu0798,0.348682,0.003612,0.023669698,0.348682,1
Otu0664,Otu0817,-0.301897,0.003948,0.025306033,0.301897,1
Otu0664,Otu0968,-0.300675,0.001272,0.011163123,0.300675,1
Otu0664,Otu1840,0.371815,0.001024,0.00957019,0.371815,1
Otu0664,Otu1853,-0.391506,0.000212,0.003167847,0.391506,1
Otu0664,Otu1858,0.318739,0.004336,0.027198545,0.318739,1
Otu0664,Otu1887,-0.30828,0.001736,0.014043641,0.30828,1
Otu0664,Otu1937,0.306684,0.006436,0.035949657,0.306684,1
Otu0669,Otu0716,0.508931,8.00E-06,0.000260667,0.508931,2
Otu0669,Otu0797,0.38808,0.001572,0.013018648,0.38808,1
Otu0669,Otu0809,0.361988,0.002896,0.020463904,0.361988,1
Otu0669,Otu0915,0.431733,5.00E-04,0.005666667,0.431733,2
Otu0669,Otu1411,0.582595,0,0,0.582595,2
Otu0669,Otu1797,0.309823,0.008212,0.042434696,0.309823,1
Otu0669,Otu1899,-0.270131,0.005368,0.032105665,0.270131,1
Otu0669,Otu1907,-0.256548,0.009076,0.045114622,0.256548,1
Otu0691,Otu0711,-0.346581,0.00054,0.006003981,0.346581,1
Otu0691,Otu0716,0.392756,0.000848,0.008465566,0.392756,1
Otu0691,Otu0886,-0.329048,0.00022,0.003205714,0.329048,1
Otu0691,Otu0967,0.325124,0.004332,0.027198545,0.325124,1
Otu0691,Otu1109,-0.255248,0.007572,0.040296,0.255248,1
Otu0691,Otu1501,-0.262367,0.007132,0.038929448,0.262367,1
Otu0691,Otu1840,0.41552,0.000336,0.004478727,0.41552,2
Otu0691,Otu1853,-0.258874,0.008576,0.04354826,0.258874,1
Otu0691,Otu1900,0.404466,0.000628,0.006636432,0.404466,2
Otu0691,Otu1947,0.305012,0.00884,0.044408223,0.305012,1
Otu0705,Otu0711,0.369316,0.000348,0.004510541,0.369316,1
