Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0302,Otu0790,-0.355,0.00354,0.147180632,0.355,1
Otu0302,Otu0795,-0.302391,0.016488,0.27441944,0.302391,1
Otu0302,Otu0796,-0.272125,0.02658,0.30567,0.272125,1
Otu0302,Otu0797,-0.352378,0.003012,0.142925538,0.352378,1
Otu0302,Otu0798,-0.321586,0.009756,0.222209476,0.321586,1
Otu0302,Otu0804,-0.272157,0.027456,0.306469877,0.272157,1
Otu0302,Otu0805,-0.313442,0.0126,0.249878083,0.313442,1
Otu0302,Otu0915,0.407009,0.00336,0.144342982,0.407009,2
Otu0302,Otu0918,0.334878,0.013044,0.250829705,0.334878,1
Otu0302,Otu0968,-0.211746,0.036804,0.332862345,0.211746,1
Otu0302,Otu1887,0.325029,0.011376,0.233784,0.325029,1
Otu0302,Otu1985,-0.244539,0.02052,0.280275713,0.244539,1
Otu0309,Otu0528,-0.263995,0.017064,0.27441944,0.263995,1
Otu0309,Otu0745,-0.229638,0.045036,0.336927439,0.229638,1
Otu0309,Otu0772,0.27027,0.036648,0.332862345,0.27027,1
Otu0309,Otu0797,-0.31665,0.009924,0.223607314,0.31665,1
Otu0309,Otu0798,-0.333088,0.008412,0.216863209,0.333088,1
Otu0309,Otu0809,-0.239581,0.043116,0.335516459,0.239581,1
Otu0309,Otu0915,0.330298,0.01344,0.254276129,0.330298,1
Otu0309,Otu0918,0.497154,0.000504,0.049266,0.497154,2
Otu0309,Otu0967,-0.21176,0.029652,0.310540123,0.21176,1
Otu0309,Otu1501,0.286224,0.017244,0.27441944,0.286224,1
Otu0309,Otu1915,-0.234363,0.02094,0.280275713,0.234363,1
Otu0314,Otu0348,0.27722,0.014472,0.267333165,0.27722,1
Otu0314,Otu0501,0.205285,0.049344,0.344526857,0.205285,1
Otu0314,Otu0669,-0.307638,0.008244,0.2164576,0.307638,1
Otu0314,Otu0776,-0.286056,0.021588,0.280275713,0.286056,1
Otu0314,Otu0792,-0.380385,0.002364,0.132046286,0.380385,1
Otu0314,Otu0795,-0.295131,0.020328,0.280275713,0.295131,1
Otu0314,Otu0796,-0.419319,0.000996,0.077190968,0.419319,2
Otu0314,Otu0797,-0.29372,0.018156,0.276616103,0.29372,1
Otu0314,Otu0801,-0.281548,0.022104,0.281826,0.281548,1
Otu0314,Otu0805,-0.315633,0.012888,0.249878083,0.315633,1
Otu0314,Otu1149,0.289609,0.005568,0.188462,0.289609,1
Otu0314,Otu1887,0.641569,0,0,0.641569,3
Otu0348,Otu0465,-0.143732,0.035388,0.332862345,0.143732,0
Otu0348,Otu0616,-0.186779,0.024336,0.294095513,0.186779,0
Otu0348,Otu0711,-0.204228,0.011448,0.233784,0.204228,1
Otu0348,Otu0716,-0.258689,0.00258,0.132549,0.258689,1
Otu0348,Otu1717,-0.219043,0.00774,0.213566897,0.219043,1
Otu0348,Otu1891,-0.188692,0.029148,0.310540123,0.188692,0
Otu0465,Otu0705,0.224648,0.0174,0.27441944,0.224648,1
Otu0465,Otu1501,-0.153208,0.040152,0.333572859,0.153208,0
Otu0465,Otu1899,-0.207087,0.010008,0.223607314,0.207087,1
Otu0501,Otu0552,-0.18428,0.016776,0.27441944,0.18428,0
Otu0501,Otu0669,-0.2213,0.009624,0.222209476,0.2213,1
Otu0501,Otu1149,0.17139,0.040344,0.333572859,0.17139,0
Otu0501,Otu1661,-0.149667,0.030708,0.312475013,0.149667,0
Otu0501,Otu1840,-0.127307,0.048984,0.344126687,0.127307,0
Otu0501,Otu1897,0.181401,0.039552,0.333572859,0.181401,0
Otu0501,Otu1903,-0.164157,0.032556,0.32226319,0.164157,0
Otu0501,Otu1917,-0.131019,0.04788,0.344126687,0.131019,0
Otu0528,Otu0745,0.290716,0.017136,0.27441944,0.290716,1
Otu0528,Otu0790,0.278081,0.026916,0.306469877,0.278081,1
Otu0528,Otu0809,0.274114,0.02838,0.309672,0.274114,1
Otu0528,Otu0918,-0.310682,0.00522,0.18277791,0.310682,1
Otu0528,Otu1149,-0.164929,0.020988,0.280275713,0.164929,0
Otu0528,Otu1797,-0.197325,0.024588,0.294095513,0.197325,0
Otu0528,Otu1935,-0.187604,0.034332,0.330093738,0.187604,0
Otu0552,Otu0664,-0.175737,0.048012,0.344126687,0.175737,0
Otu0552,Otu0790,0.239015,0.044796,0.336927439,0.239015,1
Otu0599,Otu0728,0.266109,0.030744,0.312475013,0.266109,1
Otu0599,Otu0805,0.256141,0.030768,0.312475013,0.256141,1
Otu0599,Otu1404,-0.205043,0.023088,0.288108766,0.205043,1
Otu0599,Otu1840,-0.156171,0.036926,0.332862345,0.156171,0
Otu0599,Otu1853,-0.209192,0.021624,0.280275713,0.209192,1
Otu0599,Otu1985,-0.227388,0.011292,0.233784,0.227388,1
Otu0616,Otu0691,-0.268419,0.009456,0.22183776,0.268419,1
Otu0616,Otu0790,0.278608,0.02976,0.310540123,0.278608,1
Otu0616,Otu1149,-0.256516,0.001392,0.093303771,0.256516,1
Otu0616,Otu1717,0.238715,0.047088,0.344126687,0.238715,1
Otu0616,Otu1900,-0.190075,0.044712,0.336927439,0.190075,0
Otu0616,Otu1935,-0.187956,0.038436,0.333572859,0.187956,0
Otu0664,Otu0691,0.336857,0.00732,0.212008889,0.336857,1
Otu0664,Otu0711,-0.209526,0.023892,0.294095513,0.209526,1
Otu0664,Otu0781,-0.229991,0.03678,0.332862345,0.229991,1
Otu0664,Otu0797,0.251263,0.040296,0.333572859,0.251263,1
Otu0664,Otu0805,0.241117,0.047522,0.344126687,0.241117,1
Otu0664,Otu0886,-0.18555,0.02526,0.297788744,0.18555,0
Otu0664,Otu0967,-0.163726,0.047628,0.344126687,0.163726,0
Otu0664,Otu1858,-0.149962,0.04524,0.336930286,0.149962,0
Otu0664,Otu1903,0.229421,0.042084,0.333572859,0.229421,1
Otu0664,Otu1917,0.25386,0.018192,0.276616103,0.25386,1
Otu0669,Otu0705,-0.239278,0.00924,0.220381818,0.239278,1
Otu0669,Otu0711,-0.197899,0.037008,0.332862345,0.197899,0
Otu0669,Otu0797,0.247297,0.048108,0.344126687,0.247297,1
Otu0669,Otu0817,0.351638,0.007896,0.213566897,0.351638,1
Otu0669,Otu0915,0.259427,0.03504,0.332862345,0.259427,1
Otu0669,Otu1149,-0.26658,0.001008,0.077190968,0.26658,1
Otu0669,Otu1887,-0.316456,0.003576,0.147180632,0.316456,1
Otu0691,Otu0711,-0.240151,0.014066,0.263990688,0.240151,1
Otu0691,Otu0781,-0.226598,0.045096,0.336927439,0.226598,1
Otu0691,Otu0792,0.267991,0.035808,0.332862345,0.267991,1
Otu0691,Otu0945,-0.270245,0.008712,0.219767226,0.270245,1
Otu0691,Otu1404,0.254084,0.035796,0.332862345,0.254084,1
Otu0691,Otu1797,0.286441,0.016008,0.27441944,0.286441,1
Otu0691,Otu1858,-0.168466,0.03425,0.330093738,0.168466,0
Otu0691,Otu1937,0.289992,0.01122,0.233784,0.289992,1
Otu0705,Otu0796,-0.179841,0.039444,0.333572859,0.179841,0
Otu0705,Otu0804,-0.223799,0.016128,0.27441944,0.223799,1
Otu0705,Otu0968,-0.169664,0.029172,0.310540123,0.169664,0
Otu0705,Otu1887,0.241836,0.024696,0.294095513,0.241836,1
Otu0705,Otu1897,-0.158892,0.020352,0.280275713,0.158892,0
Otu0705,Otu1899,-0.175702,0.023808,0.294095513,0.175702,0
Otu0705,Otu1985,-0.224129,0.006816,0.2069172,0.224129,1
Otu0711,Otu1895,-0.192752,0.02418,0.294095513,0.192752,0
Otu0711,Otu1897,-0.151093,0.042216,0.333572859,0.151093,0
Otu0716,Otu0728,-0.219515,0.035592,0.332862345,0.219515,1
Otu0716,Otu0798,-0.253065,0.018696,0.278490987,0.253065,1
Otu0716,Otu1947,0.245408,0.028812,0.310540123,0.245408,1
Otu0716,Otu1957,0.228674,0.038784,0.333572859,0.228674,1
Otu0728,Otu0772,-0.344268,0.006396,0.202770486,0.344268,1
Otu0728,Otu0776,-0.264694,0.027564,0.306469877,0.264694,1
Otu0728,Otu0798,0.283041,0.036482,0.332862345,0.283041,1
Otu0728,Otu1797,0.301314,0.0156,0.27441944,0.301314,1
Otu0728,Otu1853,-0.285341,0.011004,0.233784,0.285341,1
Otu0745,Otu0967,0.345343,0.002712,0.132549,0.345343,1
Otu0745,Otu1703,-0.21546,0.021504,0.280275713,0.21546,1
Otu0745,Otu1717,0.240874,0.04266,0.334716923,0.240874,1
Otu0745,Otu1887,0.330909,0.010548,0.233449132,0.330909,1
Otu0745,Otu1903,-0.34015,0.00102,0.077190968,0.34015,1
Otu0745,Otu1907,-0.173995,0.042372,0.333572859,0.173995,0
Otu0745,Otu1935,-0.280731,0.006156,0.197835288,0.280731,1
Otu0745,Otu1985,0.252398,0.0294,0.310540123,0.252398,1
